nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
         1, 2.695014897E+00, 1.000000024E+00, 2.006309411E-02, 2.397436749E-02
         2, 2.695014888E+00, 1.000000002E+00, 4.026653207E-02, 3.812041925E-02
         3, 2.695014799E+00, 9.999999480E-01, 6.046997177E-02, 4.297337408E-02
         4, 2.695014937E+00, 9.999999953E-01, 8.067341310E-02, 4.626830618E-02
         5, 2.695015051E+00, 1.000000026E+00, 1.008768477E-01, 4.867289543E-02
         6, 2.695015099E+00, 1.000000029E+00, 1.210802856E-01, 5.034135560E-02
         7, 2.695014968E+00, 9.999999773E-01, 1.412837150E-01, 5.128223914E-02
         8, 2.695015089E+00, 1.000000007E+00, 1.614871568E-01, 5.199839343E-02
         9, 2.695015183E+00, 1.000000027E+00, 1.816905951E-01, 5.253658241E-02
        10, 2.695015070E+00, 1.000000013E+00, 2.018940297E-01, 5.282458009E-02
        11, 2.695015054E+00, 1.000000047E+00, 2.220974613E-01, 5.288693104E-02
        12, 2.695015054E+00, 1.000000057E+00, 2.423009025E-01, 5.278822932E-02
        13, 2.695015207E+00, 9.999999972E-01, 2.625043188E-01, 5.247868698E-02
        14, 2.695015071E+00, 1.000000000E+00, 2.827077694E-01, 5.202847205E-02
        15, 2.695014973E+00, 1.000000038E+00, 3.029112135E-01, 5.150592713E-02
        16, 2.695015105E+00, 1.000000066E+00, 3.231146631E-01, 5.090376602E-02
        17, 2.695015144E+00, 1.000000041E+00, 3.433181083E-01, 5.031171771E-02
        18, 2.695015238E+00, 1.000000052E+00, 3.635215675E-01, 4.973703694E-02
        19, 2.695015149E+00, 1.000000036E+00, 3.837250114E-01, 4.919298021E-02
        20, 2.695015031E+00, 9.999999927E-01, 4.039284170E-01, 4.869761541E-02
        21, 2.695015135E+00, 1.000000015E+00, 4.241318480E-01, 4.816418545E-02
        22, 2.695014932E+00, 9.999999853E-01, 4.443352839E-01, 4.777966902E-02
        23, 2.695015044E+00, 1.000000027E+00, 4.645387038E-01, 4.734794844E-02
        24, 2.695014984E+00, 1.000000032E+00, 4.847421665E-01, 4.680892871E-02
        25, 2.695015056E+00, 1.000000036E+00, 5.049455820E-01, 4.637711753E-02
        26, 2.695015050E+00, 1.000000055E+00, 5.251490551E-01, 4.573252039E-02
        27, 2.695015076E+00, 1.000000064E+00, 5.453524725E-01, 4.495038497E-02
        28, 2.695014974E+00, 9.999999952E-01, 5.655559184E-01, 4.402290603E-02
        29, 2.695015017E+00, 9.999999783E-01, 5.857593461E-01, 4.275085873E-02
        30, 2.695014954E+00, 9.999999573E-01, 6.059628019E-01, 4.125456081E-02
        31, 2.695014964E+00, 9.999999958E-01, 6.261662068E-01, 3.953915251E-02
        32, 2.695014979E+00, 1.000000022E+00, 6.463697197E-01, 3.740219393E-02
        33, 2.695015013E+00, 1.000000018E+00, 6.665731363E-01, 3.503275157E-02
        34, 2.695015074E+00, 9.999999980E-01, 6.867765209E-01, 3.245103732E-02
        35, 2.695015079E+00, 1.000000006E+00, 7.069799699E-01, 2.957467512E-02
