nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
         1, 2.695015085E+00, 9.999999910E-01, 2.006309383E-02, 2.608927704E-02
         2, 2.695015122E+00, 1.000000005E+00, 4.026652885E-02, 5.229370076E-02
         3, 2.695015198E+00, 1.000000034E+00, 6.046997051E-02, 5.601237030E-02
         4, 2.695015278E+00, 1.000000065E+00, 8.067341230E-02, 5.969084143E-02
         5, 2.695015184E+00, 1.000000047E+00, 1.008768445E-01, 6.005445727E-02
         6, 2.695015107E+00, 1.000000035E+00, 1.210802812E-01, 6.040207729E-02
         7, 2.695014921E+00, 1.000000032E+00, 1.412837176E-01, 5.986058071E-02
         8, 2.695014746E+00, 1.000000029E+00, 1.614871595E-01, 5.931692321E-02
         9, 2.695014898E+00, 1.000000045E+00, 1.816906058E-01, 5.871771637E-02
        10, 2.695014973E+00, 1.000000032E+00, 2.018940455E-01, 5.811892930E-02
        11, 2.695014943E+00, 9.999999903E-01, 2.220974682E-01, 5.752905427E-02
        12, 2.695014992E+00, 9.999999794E-01, 2.423009124E-01, 5.693682156E-02
        13, 2.695014910E+00, 9.999999510E-01, 2.625043327E-01, 5.630405845E-02
        14, 2.695014908E+00, 9.999999544E-01, 2.827077759E-01, 5.566809783E-02
        15, 2.695015002E+00, 1.000000001E+00, 3.029112271E-01, 5.498649937E-02
        16, 2.695014936E+00, 9.999999884E-01, 3.231146576E-01, 5.430814831E-02
        17, 2.695014933E+00, 1.000000004E+00, 3.433180942E-01, 5.366844174E-02
        18, 2.695014863E+00, 9.999999899E-01, 3.635215222E-01, 5.303095330E-02
        19, 2.695014944E+00, 9.999999978E-01, 3.837249653E-01, 5.241035712E-02
        20, 2.695015098E+00, 1.000000038E+00, 4.039284226E-01, 5.179438672E-02
        21, 2.695015057E+00, 1.000000036E+00, 4.241318501E-01, 5.121042160E-02
        22, 2.695015001E+00, 1.000000023E+00, 4.443353049E-01, 5.061660331E-02
        23, 2.695015095E+00, 1.000000024E+00, 4.645387285E-01, 4.997496961E-02
        24, 2.695015096E+00, 1.000000004E+00, 4.847421325E-01, 4.942152679E-02
        25, 2.695015000E+00, 9.999999876E-01, 5.049456023E-01, 4.883420773E-02
        26, 2.695014823E+00, 9.999999365E-01, 5.251490970E-01, 4.821843963E-02
        27, 2.695014980E+00, 9.999999850E-01, 5.453525038E-01, 4.745280869E-02
        28, 2.695015093E+00, 1.000000021E+00, 5.655559697E-01, 4.661816227E-02
        29, 2.695015021E+00, 1.000000012E+00, 5.857593860E-01, 4.541506825E-02
        30, 2.695015008E+00, 1.000000029E+00, 6.059628795E-01, 4.414206296E-02
        31, 2.695015087E+00, 1.000000023E+00, 6.261662673E-01, 4.221555257E-02
        32, 2.695015058E+00, 9.999999838E-01, 6.463696996E-01, 4.016942904E-02
        33, 2.695015071E+00, 9.999999908E-01, 6.665731394E-01, 3.742631177E-02
        34, 2.695014982E+00, 9.999999627E-01, 6.867765465E-01, 3.453607223E-02
        35, 2.695014972E+00, 9.999999775E-01, 7.069799855E-01, 3.092820845E-02
        36, 2.695014974E+00, 9.999999818E-01, 7.271833703E-01, 2.724039926E-02
        37, 2.695014975E+00, 9.999999447E-01, 7.473868924E-01, 2.309006012E-02
        38, 2.695015172E+00, 9.999999948E-01, 7.675902653E-01, 1.916599578E-02
        39, 2.695015039E+00, 9.999999847E-01, 7.877937141E-01, 1.659608825E-02
        40, 2.695014971E+00, 9.999999728E-01, 8.079971010E-01, 1.659510376E-02
        41, 2.695015020E+00, 9.999999787E-01, 8.282005584E-01, 1.922385511E-02
        42, 2.695014938E+00, 9.999999764E-01, 8.484039753E-01, 2.497195088E-02
        43, 2.695014766E+00, 9.999999796E-01, 8.686074236E-01, 3.370052520E-02
        44, 2.695014729E+00, 9.999999781E-01, 8.888109264E-01, 4.485056065E-02
        45, 2.695014761E+00, 9.999999652E-01, 9.090143591E-01, 5.764634214E-02
        46, 2.695014801E+00, 9.999999642E-01, 9.292178347E-01, 7.182748711E-02
        47, 2.695014894E+00, 9.999999917E-01, 9.494212439E-01, 8.761264859E-02
        48, 2.695014986E+00, 1.000000022E+00, 9.696247203E-01, 1.036808246E-01
        49, 2.695014952E+00, 1.000000011E+00, 9.898281249E-01, 1.207422182E-01
        50, 2.695014902E+00, 9.999999947E-01, 1.010031521E+00, 1.377551207E-01
        51, 2.695015037E+00, 1.000000050E+00, 1.030234995E+00, 1.513738281E-01
        52, 2.695015074E+00, 1.000000069E+00, 1.050438434E+00, 1.649925323E-01
        53, 2.695015002E+00, 1.000000053E+00, 1.070641777E+00, 1.723439112E-01
        54, 2.695014965E+00, 1.000000053E+00, 1.090845289E+00, 1.765802734E-01
        55, 2.695014908E+00, 1.000000010E+00, 1.111048739E+00, 1.752205983E-01
        56, 2.695014982E+00, 9.999999848E-01, 1.131252194E+00, 1.686312297E-01
        57, 2.695014996E+00, 9.999999879E-01, 1.151455537E+00, 1.587041868E-01
        58, 2.695014870E+00, 1.000000003E+00, 1.171658977E+00, 1.445738260E-01
